key,value
system.os_type,unix/linux
system.system_architecture,x86_64-pc-linux-gnu
system.otp_release,28
system.elixir,1.19.5
system.git_sha,4f93c2809d8ec3b697f246e4989e486819fc310f
bench.scheme,http
bench.ddskerl_bound,2048
bench.pool_size,50
bench.ddskerl_error,0.0100
bench.clients,"finch,hackney,gun"
bench.concurrency,100
bench.duration_s,20
bench.gun_conns,4
bench.pool_count,8
bench.request_timeout_ms,30000
bench.scenarios,"health,small,large,json,echo,stream,delay"
bench.server_host,10.50.1.229
bench.server_port,8080
bench.warmup_s,5
finch.version,
finch.source,git
finch.ref,main
finch.app_version,0.21.0
generated_at,2026-01-27T15:45:18.924258Z
