client,scenario,requests,errors,duration_seconds,rps,latency_ms_min,latency_ms_max,latency_ms_mean,latency_ms_p50,latency_ms_p90,latency_ms_p99
finch,health,2132924,0,19.9999,106646.5573,0.2450,5.2430,0.9370,0.9070,1.3264,1.7550
finch,small,1967983,0,19.9999,98399.6863,0.2670,5.0380,1.0155,0.9826,1.4368,1.9011
finch,medium,235904,0,20.0317,11776.5436,0.4500,310.1390,8.4771,6.9761,16.4861,33.1997
finch,large,29628,0,20.2846,1460.6146,4.3770,1022.3500,67.5815,47.5867,167.7703,358.7483
finch,json,2015135,0,20.0000,100756.6845,0.2650,7.1350,0.9918,0.9631,1.3805,1.8635
finch,echo,1963745,0,20.0003,98185.8410,0.2580,4.5900,1.0178,0.9826,1.4368,1.9395
finch,stream,29615,0,20.0351,1478.1544,4.6100,449.2920,67.6032,62.9640,112.4583,178.1450
finch,delay,20000,0,20.0884,995.6016,99.3040,102.3140,100.3212,99.7412,101.7561,101.7561
finch,delay_var,18175,0,20.1777,900.7452,19.5620,201.2530,110.4182,110.2314,181.7439,200.8587
hackney,health,762157,0,20.0019,38104.1958,1.1520,5.7810,2.6233,2.5663,2.8362,3.3283
hackney,small,701107,0,20.0019,35051.9412,1.1150,4.8170,2.8517,2.8362,3.0116,3.3283
hackney,medium,236231,0,20.0055,11808.2933,1.2990,31.4960,8.4659,8.1866,11.7342,15.2186
hackney,large,29649,0,20.0539,1478.4637,13.1550,274.6370,67.5558,64.2360,88.4621,126.7969
hackney,json,714991,0,20.0015,35746.8869,0.8100,5.4690,2.7963,2.7800,2.9519,3.1978
hackney,echo,742324,0,20.0018,37112.9211,1.0530,5.7330,2.6933,2.6710,2.8935,3.1978
hackney,stream,29643,0,20.0547,1478.1049,5.7040,557.8200,67.5785,62.9640,93.9325,157.9998
hackney,delay,10000,0,20.1366,496.6084,100.5050,203.4650,200.8356,200.8587,200.8587,200.8587
hackney,delay_var,9085,0,20.2642,448.3284,22.1500,345.4570,221.1959,221.9839,293.7163,318.1799
gun,health,4240111,88994,20.0221,211772.0078,0.2560,1.6240,0.4655,0.4504,0.5501,0.8715
gun,small,3051831,67087,20.0818,151970.0987,0.3030,41.0530,0.6472,0.6080,0.8715,1.2244
gun,medium,236280,6020,20.0624,11777.2767,0.3590,31.8270,8.2446,6.3122,18.2200,30.6471
gun,large,29676,835,20.1363,1473.7558,1.1090,264.7460,65.3057,52.5916,164.4481,265.7646
gun,json,438833,8457,20.0894,21844.0225,0.2110,81.2620,4.4975,0.6855,2.7800,41.3697
gun,echo,3654662,79406,20.0760,182041.2976,0.2600,2.3050,0.5401,0.5078,0.6994,0.9254
gun,stream,29661,632,20.2187,1467.0049,1.3490,265.5390,65.8899,26.1156,260.5020,265.7646
gun,delay,876,44,23.0757,37.9621,100.4640,3107.2030,2342.7343,2496.6017,3110.9800,3110.9800
gun,delay_var,835,33,24.3281,34.3225,25.7770,4419.6740,2532.3210,2598.4934,3799.7849,4284.2627
