key,value
system.os_type,unix/linux
system.system_architecture,x86_64-pc-linux-gnu
system.otp_release,28
system.elixir,1.19.5
system.git_sha,8093b7790fcde220b997b6cf80d9cc60c332d304
bench.scheme,http
bench.ddskerl_bound,2048
bench.pool_size,50
bench.ddskerl_error,0.0100
bench.clients,"finch,hackney,gun"
bench.concurrency,100
bench.duration_s,20
bench.gun_conns,4
bench.http_version,http1
bench.pool_count,8
bench.request_timeout_ms,30000
bench.scenarios,"health,small,medium,large,json,echo,stream,delay,delay_var"
bench.server_host,10.50.1.162
bench.server_port,8080
bench.tls_verify,false
bench.warmup_s,5
finch.version,
finch.source,git
finch.ref,main
finch.app_version,0.21.0
generated_at,2026-01-28T06:51:41.519051Z
