client,scenario,requests,errors,duration_seconds,rps,latency_ms_min,latency_ms_max,latency_ms_mean,latency_ms_p50,latency_ms_p90,latency_ms_p99
finch,health,2190390,0,30.0009,73010.7026,0.2310,14.4170,1.3689,1.1302,2.4656,4.5836
finch,small,2012297,0,30.0004,67075.7461,0.2520,15.6120,1.4900,1.2244,2.6710,4.8670
finch,medium,349744,0,30.0040,11656.5846,0.4530,61.6480,8.5762,7.8656,15.8397,22.7037
finch,large,43708,0,30.0442,1454.7881,3.6750,481.1030,68.6837,62.9640,112.4583,192.9827
finch,json,2398152,0,30.0019,79933.2576,0.2510,16.0200,1.2502,1.0433,2.1011,4.2311
finch,echo,1884643,0,30.0008,62819.7812,0.2470,21.1780,1.5909,1.2244,3.0116,5.5984
finch,stream,44276,0,30.0480,1473.5096,4.0640,532.9210,67.8039,62.9640,114.7302,192.9827
finch,delay,29983,0,30.0993,996.1367,99.3070,103.2480,100.2976,99.7412,101.7561,101.7561
finch,delay_var,27135,0,30.1759,899.2272,19.4690,205.8620,110.7914,110.2314,181.7439,200.8587
hackney,health,78829,0,30.0430,2623.8708,0.6960,1160.9600,38.0827,15.8397,93.9325,250.2872
hackney,small,58224,0,30.0829,1935.4525,1.3270,1385.7760,51.5910,20.5431,129.3584,380.9328
hackney,medium,84858,0,30.0327,2825.5238,1.8730,971.6340,35.3706,14.6218,86.7104,192.9827
hackney,large,44396,0,30.0648,1476.6783,2.6230,1088.6300,67.6445,42.2055,145.8518,396.4795
hackney,json,94542,0,30.0309,3148.1560,0.7440,658.7110,31.7461,9.8012,84.9934,140.1327
hackney,echo,93741,0,30.0322,3121.3469,1.1730,756.3170,32.0175,17.8592,83.3103,117.0480
hackney,stream,33962,0,30.0648,1129.6261,2.8500,1017.7700,88.4269,60.4951,185.4155,412.6607
hackney,delay,321,368,32.6728,9.8247,100.1970,8098.2360,729.8789,101.7561,1121.7655,7806.5917
hackney,delay_var,294,368,32.0916,9.1613,20.1250,8036.1440,802.6647,117.0480,3303.3589,7964.3007
gun,health,6386571,134078,30.0380,212616.2019,0.2170,2.2610,0.4636,0.4504,0.5392,0.8542
gun,small,4621728,102660,30.0660,153719.6627,0.2390,41.2760,0.6407,0.6080,0.8542,1.1764
gun,medium,354375,10081,30.0761,11782.6185,0.3470,32.1530,8.2179,6.1872,18.9636,31.2663
gun,large,44464,1193,30.1642,1474.0651,1.4750,266.2950,65.5394,39.7475,157.9998,260.5020
gun,json,639666,12153,30.1116,21243.1987,0.2150,81.2550,4.6425,0.6855,2.8362,41.3697
gun,echo,5569022,119642,30.1093,184960.3547,0.2200,3.3260,0.5317,0.5078,0.6719,0.8891
gun,stream,44442,1046,30.1824,1472.4463,1.2590,268.0510,65.7901,42.2055,174.6174,265.7646
gun,delay,1296,55,33.9025,38.2273,99.9280,3904.4590,2381.1854,2496.6017,3876.5483,3876.5483
gun,delay_var,1181,24,34.0867,34.6469,45.9490,4493.4750,2645.9268,2871.7889,3876.5483,4370.8135
