client,scenario,requests,errors,duration_seconds,rps,latency_ms_min,latency_ms_max,latency_ms_mean,latency_ms_p50,latency_ms_p90,latency_ms_p99
finch,health,3201347,0,30.0001,106711.3319,0.2490,4.7600,0.9364,0.9070,1.3264,1.7904
finch,small,2937776,0,30.0000,97925.7426,0.2770,6.2510,1.0204,0.9826,1.4368,1.9395
finch,medium,354286,0,30.0035,11808.1478,0.6210,64.9290,8.4665,8.1866,14.9172,20.1363
finch,large,44419,0,30.0375,1478.7872,4.8310,516.0160,67.5861,64.2360,103.8118,181.7439
finch,json,3025723,0,29.9999,100857.6317,0.2690,5.4730,0.9908,0.9631,1.4084,1.8635
finch,echo,2957892,0,30.0000,98596.5512,0.2560,5.9490,1.0135,0.9826,1.4368,1.9395
finch,stream,44394,0,30.0329,1478.1777,4.7410,477.8220,67.6192,62.9640,112.4583,171.1596
finch,delay,29977,0,30.1002,995.9083,99.2880,102.0320,100.3085,99.7412,101.7561,101.7561
finch,delay_var,27242,0,30.1958,902.1776,19.4280,201.3260,110.3580,110.2314,181.7439,200.8587
hackney,health,95196,0,30.0303,3169.9939,0.9540,866.4300,31.5279,9.4168,84.9934,129.3584
hackney,small,93370,0,30.0317,3109.0519,0.9250,710.9180,32.1457,17.5056,84.9934,119.4126
hackney,medium,90123,0,30.0341,3000.6859,1.2700,392.5960,33.3049,18.5881,84.9934,117.0480
hackney,large,44362,0,30.0662,1475.4798,3.1890,1230.9480,67.6970,43.9280,142.9637,365.9958
hackney,json,94158,0,30.0305,3135.4072,0.9310,599.5920,31.8756,17.5056,84.9934,119.4126
hackney,echo,94833,0,30.0295,3157.9917,0.8710,864.5960,31.6479,17.1589,84.9934,119.4126
hackney,stream,44413,0,30.0657,1477.1989,2.4730,1039.4010,67.6201,43.9280,145.8518,365.9958
hackney,delay,641,332,32.6527,19.6309,99.8820,8076.5510,792.6127,101.7561,3237.9459,7806.5917
hackney,delay_var,594,347,32.4590,18.3000,21.0050,8039.5130,654.6845,117.0480,293.7163,7806.5917
gun,health,6386306,133514,30.0357,212623.8655,0.2440,1.6570,0.4636,0.4504,0.5392,0.8542
gun,small,4623055,102046,30.0781,153701.8243,0.3100,41.5030,0.6408,0.6080,0.8373,1.1764
gun,medium,354382,9797,30.0715,11784.6548,0.3610,31.7640,8.2267,6.1872,18.5881,30.6471
gun,large,44464,1319,30.1518,1474.6717,1.1400,264.4660,65.3144,50.5294,151.8043,265.7646
gun,json,714450,13696,30.1162,23723.0928,0.2160,81.1980,4.1506,0.6855,2.2761,41.3697
gun,echo,5508569,118718,30.1077,182961.8288,0.2660,1.9420,0.5375,0.5181,0.6855,0.9070
gun,stream,44441,1372,30.2442,1469.4040,1.3240,265.2550,65.4517,11.0508,235.7111,265.7646
gun,delay,1296,138,33.6397,38.5259,100.6780,4805.7180,2231.7849,2398.7053,3578.4955,4734.8583
gun,delay_var,1197,0,33.2217,36.0307,63.6920,3967.1940,2626.4896,2650.9882,3438.1761,3799.7849
